epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1.704927,0.451163,0.653178,1.465522,0.407407,0.707469
2,1.472063,0.604651,0.802294,1.30655,0.444444,0.752474
3,1.364399,0.651163,0.858316,1.154319,0.592593,0.802352
4,1.306217,0.690698,0.890892,1.078308,0.648148,0.841923
5,1.248309,0.725581,0.910618,1.02391,0.648148,0.863287
6,1.217159,0.737209,0.921771,1.009818,0.648148,0.878429
7,1.16911,0.755814,0.929532,0.974943,0.666667,0.889712
8,1.151998,0.769767,0.93844,0.960435,0.666667,0.890885
9,1.140342,0.769767,0.936852,0.955134,0.666667,0.894545
10,1.155238,0.762791,0.928801,0.960202,0.666667,0.884236
11,1.100993,0.790698,0.947501,0.934088,0.685185,0.896191
12,1.105152,0.793023,0.951068,0.90708,0.703704,0.893682
13,1.053848,0.818605,0.954717,0.887981,0.722222,0.902606
14,1.028064,0.853488,0.957537,0.924936,0.703704,0.900674
15,1.028373,0.846512,0.961647,0.944459,0.703704,0.902119
16,1.009425,0.837209,0.964284,0.901396,0.722222,0.907614
17,1.015445,0.855814,0.964935,0.891118,0.703704,0.903478
18,0.970672,0.865116,0.98089,0.978952,0.722222,0.890972
19,0.939289,0.886047,0.978922,0.863576,0.722222,0.919738
20,0.917268,0.893023,0.98515,0.860343,0.759259,0.916115
21,0.913305,0.9,0.985229,0.889512,0.759259,0.912
22,0.917658,0.897674,0.983743,0.8991,0.740741,0.908492
23,0.920708,0.893023,0.984172,0.913375,0.703704,0.907319
24,0.907167,0.902326,0.985642,0.928786,0.703704,0.910708
25,0.922245,0.897674,0.982956,0.906371,0.740741,0.914011
26,0.887747,0.918605,0.989773,0.881714,0.740741,0.9107
27,0.908286,0.902326,0.986568,0.863992,0.759259,0.920959
28,0.881168,0.909302,0.990046,0.936723,0.759259,0.915059
29,0.888116,0.911628,0.990598,0.944786,0.703704,0.91793
30,0.892409,0.904651,0.989918,0.894519,0.740741,0.919793
31,0.86823,0.92093,0.991646,0.875402,0.740741,0.920591
32,0.867796,0.92093,0.991945,0.900869,0.740741,0.918266
33,0.868201,0.913953,0.992247,0.894936,0.759259,0.917792
34,0.870912,0.911628,0.991787,0.904546,0.740741,0.91296
35,0.872038,0.923256,0.989707,0.873135,0.777778,0.923435
36,0.859474,0.918605,0.991046,0.917301,0.759259,0.920239
37,0.875905,0.909302,0.989876,0.844399,0.796296,0.919791
38,0.871454,0.911628,0.989527,0.876586,0.759259,0.923007
39,0.863949,0.913953,0.991293,0.860868,0.777778,0.928518
40,0.86823,0.916279,0.992996,0.858154,0.777778,0.915986
41,0.856208,0.923256,0.991292,0.907428,0.722222,0.918341
42,0.867027,0.909302,0.991748,0.890975,0.740741,0.914614
43,0.847147,0.92093,0.991767,0.903117,0.740741,0.916949
44,0.841875,0.932558,0.99273,0.869705,0.759259,0.923422
45,0.851949,0.925581,0.992662,0.871802,0.759259,0.926312
46,0.843147,0.927907,0.993035,0.858025,0.777778,0.92462
47,0.847869,0.923256,0.992258,0.912751,0.740741,0.915807
48,0.830895,0.927907,0.994844,0.874737,0.759259,0.922406
49,0.851208,0.925581,0.992465,0.89027,0.777778,0.91665
50,0.841407,0.925581,0.993116,0.847075,0.796296,0.926964
51,0.849956,0.925581,0.993384,0.894755,0.759259,0.917219
