slide_id,true_label,pred_prob
2460239-B2,1,0.9990481734275818
2460242-B2,1,0.9999995231628418
2460399-B2,1,0.6283437013626099
2460404-B3,1,0.87408047914505
2460405-B2,1,0.9999359846115112
2460591-B2,1,0.9999871253967285
2460602-B,1,0.9999115467071533
2460615-B4,0,0.0015765535645186901
2460628-B2,1,0.9956455230712891
2460641-B2,1,0.4058256149291992
2460643-B,1,0.9917884469032288
2460753-B2,1,0.9785676598548889
2460770-B2,1,0.9990941286087036
2460943-B3,0,0.9993199110031128
2460949-B3,1,0.9999978542327881
2460960-B,1,0.9999856948852539
2460974-B2,1,0.8860855102539062
2461002-B2,1,0.9994989633560181
2461487-B2,1,0.7037352323532104
2461671-B2,1,0.9998656511306763
2461672-B2,1,0.9998836517333984
2461677-B2,1,0.9983437061309814
2461698-B,1,0.9988321661949158
2461700-B2,1,0.9999470710754395
2461703-B3,1,0.9991956353187561
2461718-B3,1,0.9998884201049805
2461755-B3,1,0.9993686079978943
2461836-B2,1,0.9501155018806458
2461857-B2,1,0.9989224672317505
2461861-B2,1,0.6586383581161499
2462123-B2,1,0.9994476437568665
2462170-B4,1,0.9993394017219543
2462290-B2,1,0.9991708993911743
2462293-B3,1,0.9979140162467957
2462468-B2,0,0.0030924957245588303
2462478-B2,1,0.9998756647109985
2462483-B,1,0.9996702671051025
2462598-B,1,0.41071680188179016
2462609-B2,0,4.838245331484359e-06
2462614-B3,1,0.9989854693412781
2462637-B2,1,0.9904147386550903
2462830-B2,1,0.8691344261169434
2462830-B4,1,0.9998903274536133
2462840-B5,1,0.9972959160804749
2462885-B2,1,0.9765934944152832
2462920-B3,1,0.999298095703125
2462921-B,1,0.9948440790176392
2462939-B,0,0.4501040279865265
2462987-B2,1,0.9313938617706299
2463126-B2,1,0.7409089803695679
2463127-B3,1,0.9988988637924194
2463135-B,1,0.9967103004455566
2463187-B2,1,0.999914288520813
2463351-B4,1,0.9999955892562866
2463367-B2,0,0.35170069336891174
2463370-B2,1,0.9998944997787476
2463379-B4,1,0.999150276184082
2463404-B2,1,0.9999083280563354
2463643-B,1,0.9990923404693604
2463647-B2,1,0.9999992847442627
2463656-B2,1,0.999998927116394
2463720-B7,1,0.9460081458091736
2464404-B5,1,0.9999926090240479
2464438-B5,1,0.8840965032577515
2464443-B,1,0.9974960684776306
2464548-B,1,0.9979954957962036
2464690-B2,1,0.9923558235168457
2464812-B3,1,0.9990830421447754
2464817-B,1,0.9943169951438904
2464879-B2,1,0.9996378421783447
2464929-B,1,0.11164837330579758
2464943-B2,1,0.9999936819076538
2465202-B3,1,0.9999504089355469
2465243-B2,1,0.9991453886032104
2465263-B2,1,0.9963866472244263
2465339-B2,1,0.8817172050476074
2465367-B3,1,0.9752320647239685
2465396-B2,1,0.999727189540863
2465397-B,1,0.9976904392242432
2465568-B2,1,1.0
2465608-B2,1,0.9969923496246338
2465625-B,1,0.9988137483596802
2465636-B,1,0.9999333620071411
2465639-B2,1,0.9994105100631714
2465643-B3,1,0.9999223947525024
2465661-B2,1,0.9955782294273376
2465795-B4,1,0.9998657703399658
2465827-B5,1,0.015789326280355453
2465843-B2,1,0.9984006285667419
2465989-B2,1,0.990982711315155
2466152-B2,1,0.9999569654464722
2466159-B2,1,0.9991528987884521
2466264-B2,1,0.9994945526123047
2466285-B,1,0.9999946355819702
2466580-B5,1,0.9981585144996643
2466581-B1,1,0.9999350309371948
2466581-B2,1,0.9861911535263062
2466584-B,1,0.9950174689292908
2466703-B4,1,0.9934020638465881
2466718-B,1,0.9643872976303101
2466866-B,1,0.9998589754104614
2466881-B2,1,0.009825773537158966
2466884-B2,1,0.9938039779663086
2466891-B2,1,0.9999964237213135
2466893-B2,1,0.9975347518920898
2466898-B2,1,0.9271502494812012
2466899-B2,1,0.7691158652305603
2466923-B2,1,0.9991771578788757
2468105-B2,1,0.5689988732337952
2468321-B2,1,0.9999949932098389
2468325-B,1,0.9996563196182251
2468417-B2,1,0.9917398691177368
2468419-B2,1,0.9999866485595703
2468419-B3,1,0.992823600769043
2468442-B2,1,0.9996685981750488
2468450-B2,1,0.9999997615814209
2468673-B2,1,0.9999526739120483
2468698-B2,1,0.9952280521392822
2468720-B2,1,0.9999916553497314
2468796-B3,1,0.9968435764312744
2468954-B2,1,0.9976166486740112
2469004-B2,1,0.994566798210144
2469005-B2,1,0.9992741942405701
2469007-B2,1,0.9991968274116516
2469019-B2,1,0.9999841451644897
2469023-B2,1,0.9999924898147583
2469023-B4,1,0.9999985694885254
2469024-B,1,0.9663906097412109
2469029-B2,1,0.9999626874923706
2469033-B2,1,0.9998427629470825
2469047-B2,1,0.999138593673706
2469072-B2,1,0.8775529861450195
2469074-B2,1,0.957192599773407
2469110-B3,1,0.9999558925628662
2469230-B,1,0.9976069927215576
2469256-B2,1,0.9968835711479187
2469260-B3,1,0.9788104295730591
2469496-B,1,0.9988987445831299
2469505-B2,1,0.9980134963989258
2469515-B2,1,0.9664410948753357
2469569-B2,1,0.9999896287918091
2469661-B,1,0.8812757134437561
2469693-B,1,0.9986270666122437
2469849-B2,1,0.9960435628890991
2469916-B2,1,0.9998811483383179
2469927-B2,1,0.9989392161369324
2469963-B2,1,0.9999997615814209
2469965-B2,1,0.999997615814209
2469969-B2,1,0.5307644009590149
2470260-B,1,0.9760668277740479
2470270-B2,1,0.9999814033508301
2470405-B2,1,0.9993575215339661
2470647-B2,1,0.9999935626983643
2470657-B3,1,0.9999997615814209
2471072-B2,1,0.9980494976043701
2471237-B2,1,0.9999064207077026
2471442-B3,1,0.9998233914375305
2471452-B2,1,0.9986258745193481
2471595-B3,1,0.7436668276786804
2471618-B3,1,0.9959034323692322
2471884-B2,1,0.8953595757484436
2471885-B2,1,0.9993118047714233
2471887-B,1,0.9972475171089172
2471921-B2,1,0.999035120010376
2471957-B,1,0.07259940356016159
2471959-B2,1,0.9906963109970093
2471963-B,1,0.9870443940162659
2472316-B7,1,0.0021295850165188313
2472453-B2,1,0.9803574681282043
2472465-B2,1,0.9996546506881714
2472471-B2,1,0.9993036985397339
2472481-B2,1,0.996993899345398
2472500-B2,1,0.6104514598846436
2472505-B,1,0.9991222023963928
2472509-B4,1,0.9994632601737976
2472509-B6,1,0.977443277835846
2473212-B4,1,0.999976396560669
2473218-B2,1,0.9967225193977356
2473218-B3,1,0.9999871253967285
2473228-B2,1,0.9998438358306885
2473266-B,1,0.37478703260421753
2473272-B3,1,0.999880313873291
2473366-B2,1,0.9994229078292847
2473394-B2,1,0.9999996423721313
