epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.788384,0.680879,0.669051,0.558223,0.690722,0.874053
2,0.654333,0.784238,0.824628,0.415875,0.814433,0.925663
3,0.641155,0.803618,0.860451,0.3399,0.876289,0.937973
4,0.564564,0.866925,0.887404,0.362381,0.845361,0.946259
5,0.499367,0.890181,0.927305,0.384169,0.886598,0.955492
6,0.497699,0.897933,0.924877,0.347467,0.886598,0.961411
7,0.521569,0.888889,0.929914,0.34646,0.907216,0.965199
8,0.493684,0.896641,0.93768,0.292941,0.907216,0.95715
9,0.498412,0.901809,0.936027,0.305492,0.917526,0.956203
10,0.489621,0.900517,0.9218,0.236076,0.938144,0.960938
11,0.546142,0.885013,0.921622,0.225793,0.938144,0.980824
12,0.47758,0.905685,0.928495,0.224782,0.948454,0.959991
13,0.429613,0.931525,0.941643,0.25002,0.938144,0.959754
14,0.450615,0.914729,0.946788,0.221752,0.948454,0.963778
15,0.439291,0.925065,0.938322,0.234611,0.938144,0.963542
16,0.452792,0.921189,0.936235,0.233008,0.938144,0.959044
17,0.422372,0.930233,0.94439,0.242415,0.938144,0.962595
18,0.407021,0.940568,0.941728,0.214193,0.948454,0.958333
19,0.417724,0.936693,0.94843,0.179591,0.958763,0.958097
20,0.398203,0.943152,0.95104,0.199106,0.958763,0.965909
21,0.394275,0.945736,0.94902,0.189863,0.948454,0.943182
22,0.399791,0.94186,0.958472,0.221159,0.948454,0.969934
23,0.401061,0.937984,0.954813,0.159658,0.969072,0.977036
24,0.389701,0.945736,0.956096,0.23126,0.938144,0.963778
25,0.384652,0.94832,0.951929,0.227594,0.948454,0.974432
26,0.368665,0.953488,0.967346,0.235065,0.948454,0.987216
27,0.406869,0.939276,0.958694,0.24259,0.938144,0.988636
28,0.380652,0.950904,0.957764,0.229216,0.938144,0.972775
29,0.37938,0.952196,0.954028,0.195658,0.958763,0.952178
30,0.381486,0.950904,0.954947,0.19951,0.958763,0.965909
31,0.36409,0.957364,0.958769,0.293365,0.927835,0.92732
32,0.373693,0.95478,0.957149,0.193623,0.958763,0.991951
33,0.357879,0.96124,0.960236,0.22335,0.948454,0.950284
34,0.356655,0.96124,0.969144,0.227972,0.948454,0.982244
35,0.352057,0.962532,0.962661,0.230761,0.948454,0.921165
36,0.358349,0.958656,0.970849,0.254772,0.938144,0.923532
37,0.354559,0.96124,0.966301,0.205488,0.958763,0.982481
