epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.846257,0.657623,0.737914,0.631228,0.659794,0.861742
2,0.630661,0.745478,0.84277,0.546439,0.71134,0.893939
3,0.562734,0.802326,0.880057,0.421138,0.793814,0.910275
4,0.512638,0.835917,0.921381,0.36718,0.814433,0.929924
5,0.509778,0.857881,0.923906,0.32964,0.876289,0.944602
6,0.488912,0.865633,0.936557,0.319367,0.876289,0.953598
7,0.476188,0.875969,0.939537,0.29832,0.876289,0.957623
8,0.446056,0.897933,0.954724,0.272079,0.907216,0.959754
9,0.452815,0.899225,0.954939,0.262944,0.927835,0.965672
10,0.436383,0.906977,0.958806,0.256394,0.907216,0.969223
11,0.442994,0.904393,0.951989,0.274877,0.896907,0.972064
12,0.439358,0.913437,0.950506,0.241991,0.927835,0.97964
13,0.424855,0.922481,0.959458,0.249597,0.917526,0.976799
14,0.415989,0.926357,0.96226,0.24938,0.927835,0.977983
15,0.419162,0.930233,0.965085,0.217741,0.927835,0.974905
16,0.415418,0.930233,0.96553,0.227954,0.927835,0.974669
17,0.384825,0.945736,0.966064,0.253947,0.938144,0.97893
18,0.398965,0.935401,0.974015,0.240642,0.927835,0.980114
19,0.390334,0.939276,0.971409,0.225201,0.917526,0.958807
20,0.389826,0.937984,0.97258,0.253834,0.917526,0.975142
21,0.385561,0.94186,0.971112,0.223171,0.927835,0.962121
22,0.382943,0.94186,0.97506,0.231098,0.927835,0.961174
23,0.378855,0.944444,0.97532,0.240086,0.927835,0.971354
24,0.385813,0.940568,0.979008,0.264222,0.917526,0.948627
25,0.377328,0.94186,0.980991,0.248927,0.938144,0.952888
26,0.381001,0.94186,0.980784,0.26516,0.927835,0.961648
27,0.378831,0.94186,0.977966,0.260867,0.917526,0.955966
28,0.369028,0.945736,0.983927,0.228708,0.938144,0.966856
29,0.357538,0.952196,0.978952,0.222591,0.938144,0.968513
30,0.367042,0.947028,0.979609,0.262754,0.927835,0.963305
31,0.368444,0.944444,0.97985,0.247843,0.917526,0.959991
32,0.365864,0.949612,0.981291,0.220016,0.927835,0.962358
33,0.360531,0.950904,0.98306,0.208202,0.948454,0.966856
34,0.364576,0.94832,0.981358,0.258181,0.917526,0.968987
35,0.365308,0.949612,0.982978,0.235163,0.927835,0.955729
36,0.366546,0.94832,0.98346,0.232612,0.927835,0.968513
37,0.370179,0.944444,0.981584,0.228208,0.927835,0.980114
38,0.358566,0.949612,0.98644,0.257541,0.927835,0.961411
39,0.362015,0.94832,0.982066,0.233419,0.927835,0.968277
40,0.362443,0.950904,0.98482,0.221049,0.938144,0.970881
41,0.356564,0.953488,0.986492,0.236394,0.927835,0.956676
42,0.361396,0.949612,0.984998,0.234489,0.927835,0.970881
43,0.360606,0.947028,0.982678,0.210875,0.927835,0.970881
44,0.36152,0.94832,0.983386,0.243997,0.927835,0.95857
45,0.365589,0.94832,0.982418,0.258531,0.917526,0.975852
46,0.355479,0.952196,0.984424,0.254905,0.917526,0.96875
47,0.363214,0.94832,0.98396,0.283241,0.917526,0.964015
48,0.354143,0.950904,0.986485,0.275387,0.917526,0.968277
49,0.353801,0.950904,0.985514,0.242461,0.907216,0.960701
50,0.354249,0.952196,0.985336,0.254933,0.917526,0.964252
