epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1.50423,0.451163,0.628299,1.414008,0.407407,0.714475
2,2.109652,0.560465,0.723324,1.349648,0.5,0.709467
3,3.053816,0.62093,0.764014,1.876358,0.592593,0.731986
4,2.68953,0.672093,0.823289,2.520758,0.574074,0.753753
5,2.606911,0.683721,0.850999,2.771926,0.611111,0.780716
6,2.651957,0.718605,0.866706,2.575113,0.62963,0.811892
7,2.326421,0.739535,0.880189,2.1764,0.703704,0.840201
8,2.168685,0.739535,0.911651,2.028263,0.740741,0.860249
9,1.853837,0.781395,0.923652,2.06533,0.722222,0.862784
10,1.727101,0.809302,0.937296,2.049183,0.703704,0.867006
11,1.559269,0.82093,0.949917,2.118231,0.703704,0.87543
12,1.442175,0.837209,0.954911,2.30752,0.722222,0.878107
13,1.247591,0.853488,0.965994,2.496855,0.703704,0.873236
14,1.120723,0.869767,0.968385,2.713562,0.685185,0.868972
15,0.901146,0.888372,0.976618,2.922145,0.703704,0.867515
16,1.055233,0.9,0.970751,3.15377,0.703704,0.865225
17,1.099096,0.881395,0.974676,3.297109,0.685185,0.867386
18,1.117113,0.876744,0.973303,3.401559,0.685185,0.859937
19,0.951895,0.895349,0.980471,3.380201,0.666667,0.848757
20,0.969145,0.906977,0.9813,3.417613,0.666667,0.8489
21,0.702217,0.911628,0.988182,3.455291,0.648148,0.849417
22,0.84654,0.904651,0.984618,3.558113,0.62963,0.847189
23,0.902326,0.904651,0.983168,3.712223,0.62963,0.84241
24,0.643167,0.918605,0.989021,3.779493,0.62963,0.828681
25,0.623426,0.923256,0.988744,3.856117,0.611111,0.824533
26,0.708741,0.923256,0.988605,3.937008,0.611111,0.825682
27,0.773667,0.923256,0.985209,4.021465,0.611111,0.820972
