epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.833464,0.657623,0.735716,0.611347,0.659794,0.866477
2,0.628674,0.732558,0.860236,0.519768,0.721649,0.896307
3,0.544143,0.813953,0.882893,0.394117,0.804124,0.915246
4,0.490039,0.852713,0.92835,0.320792,0.85567,0.944129
5,0.491571,0.870801,0.923531,0.310451,0.865979,0.952178
6,0.46788,0.886305,0.946451,0.302248,0.886598,0.960227
7,0.461528,0.892765,0.939975,0.31185,0.85567,0.962595
8,0.45959,0.894057,0.94969,0.311411,0.845361,0.966856
9,0.450617,0.901809,0.946091,0.287727,0.886598,0.972064
10,0.435694,0.918605,0.957052,0.267073,0.896907,0.97964
11,0.437456,0.914729,0.953168,0.307816,0.865979,0.974905
12,0.414694,0.927649,0.959254,0.248033,0.917526,0.959754
13,0.412877,0.931525,0.955343,0.266836,0.896907,0.966146
14,0.417143,0.922481,0.950554,0.256608,0.927835,0.961411
15,0.422674,0.921189,0.964344,0.272899,0.907216,0.963305
16,0.411021,0.926357,0.973655,0.251461,0.907216,0.969934
17,0.396067,0.931525,0.969811,0.235162,0.917526,0.95786
18,0.38484,0.94186,0.968051,0.257567,0.917526,0.957386
19,0.393334,0.936693,0.961248,0.232022,0.917526,0.957386
20,0.393562,0.940568,0.961834,0.234944,0.938144,0.942708
21,0.380699,0.944444,0.97066,0.198103,0.938144,0.954545
22,0.380966,0.945736,0.978285,0.230382,0.907216,0.954309
23,0.372228,0.94832,0.976621,0.195536,0.948454,0.957386
24,0.376408,0.943152,0.972491,0.192244,0.948454,0.959517
25,0.366176,0.950904,0.970842,0.205413,0.948454,0.959517
26,0.37545,0.945736,0.981833,0.179011,0.958763,0.944366
27,0.364,0.94832,0.978015,0.185375,0.958763,0.981297
28,0.346687,0.956072,0.977158,0.176216,0.948454,0.980587
29,0.373493,0.943152,0.980895,0.27104,0.907216,0.943655
30,0.362749,0.94832,0.981062,0.242497,0.927835,0.954545
31,0.367583,0.952196,0.973177,0.252227,0.927835,0.951231
32,0.352341,0.956072,0.983593,0.251181,0.927835,0.955019
33,0.348886,0.956072,0.983834,0.243601,0.927835,0.967566
34,0.341834,0.959948,0.982211,0.271095,0.917526,0.964962
35,0.337811,0.962532,0.982081,0.229287,0.917526,0.961411
36,0.346954,0.956072,0.986904,0.241287,0.927835,0.974432
37,0.341976,0.958656,0.982318,0.237924,0.917526,0.971117
38,0.343503,0.958656,0.980009,0.231975,0.927835,0.943655
39,0.34716,0.959948,0.984494,0.239448,0.938144,0.954309
40,0.332005,0.963824,0.98849,0.238754,0.927835,0.975616
41,0.342336,0.962532,0.986344,0.224083,0.927835,0.978693
42,0.336364,0.962532,0.987682,0.264317,0.917526,0.962831
43,0.330877,0.965116,0.987504,0.279442,0.917526,0.961174
44,0.333636,0.962532,0.986956,0.257489,0.917526,0.963542
45,0.332382,0.965116,0.987137,0.271106,0.917526,0.971828
