epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.784222,0.670543,0.72971,0.590348,0.659794,0.851799
2,0.58742,0.773902,0.857986,0.487894,0.783505,0.891098
3,0.536782,0.817829,0.905056,0.409085,0.793814,0.910038
4,0.488417,0.852713,0.925485,0.355993,0.845361,0.933239
5,0.466971,0.879845,0.940557,0.32533,0.865979,0.942945
6,0.47409,0.881137,0.938566,0.312201,0.886598,0.951231
7,0.465058,0.883721,0.940546,0.296052,0.886598,0.94839
8,0.446454,0.903101,0.945279,0.283498,0.896907,0.963305
9,0.445933,0.895349,0.954584,0.294185,0.876289,0.953362
10,0.444569,0.897933,0.955518,0.274702,0.896907,0.968987
11,0.414566,0.921189,0.961463,0.319495,0.876289,0.971591
12,0.431705,0.908269,0.952378,0.283805,0.886598,0.972301
13,0.414194,0.919897,0.965589,0.264857,0.907216,0.971828
14,0.426627,0.912145,0.968073,0.26262,0.907216,0.961174
15,0.404692,0.932817,0.963139,0.24971,0.907216,0.961648
16,0.406258,0.928941,0.96596,0.215964,0.938144,0.963778
17,0.39719,0.932817,0.967839,0.258723,0.927835,0.960938
18,0.388843,0.939276,0.968099,0.216236,0.938144,0.958807
19,0.385509,0.943152,0.966868,0.234778,0.927835,0.954782
20,0.383603,0.943152,0.96593,0.18264,0.948454,0.962121
21,0.380042,0.944444,0.969137,0.220661,0.927835,0.948153
22,0.369955,0.947028,0.977225,0.212163,0.927835,0.943419
23,0.3795,0.943152,0.972232,0.206314,0.938144,0.955729
24,0.37011,0.94832,0.969263,0.230512,0.927835,0.951941
25,0.373209,0.949612,0.971872,0.234151,0.927835,0.950284
26,0.367267,0.949612,0.969585,0.243955,0.938144,0.933949
27,0.34784,0.958656,0.980357,0.258199,0.907216,0.930161
28,0.345416,0.959948,0.974812,0.293232,0.917526,0.922585
29,0.343315,0.958656,0.988312,0.258016,0.927835,0.880919
30,0.347029,0.959948,0.98015,0.270745,0.907216,0.922585
31,0.339847,0.96124,0.985488,0.244002,0.938144,0.933712
32,0.341284,0.958656,0.980558,0.267488,0.927835,0.957386
33,0.337945,0.962532,0.977232,0.305756,0.907216,0.944602
34,0.342502,0.958656,0.982604,0.209134,0.938144,0.95857
35,0.335067,0.96124,0.983134,0.263706,0.927835,0.917614
36,0.325355,0.968992,0.986333,0.225293,0.927835,0.938447
37,0.321327,0.9677,0.986544,0.295091,0.907216,0.96733
38,0.329536,0.963824,0.985995,0.266789,0.927835,0.928504
39,0.333974,0.962532,0.984109,0.257803,0.927835,0.965199
