epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.829689,0.662791,0.714939,0.640648,0.659794,0.839725
2,0.625598,0.744186,0.830448,0.528065,0.742268,0.892282
3,0.532019,0.825581,0.894206,0.39432,0.804124,0.918324
4,0.496936,0.856589,0.924273,0.321655,0.85567,0.941761
5,0.472267,0.878553,0.933154,0.298624,0.876289,0.955019
6,0.481799,0.882429,0.934351,0.311903,0.886598,0.953598
7,0.455569,0.892765,0.947696,0.285849,0.907216,0.96733
8,0.449812,0.899225,0.952263,0.273085,0.876289,0.966856
9,0.442482,0.903101,0.950543,0.268931,0.876289,0.973011
10,0.432999,0.908269,0.960077,0.265094,0.896907,0.963778
11,0.430549,0.914729,0.947033,0.259049,0.907216,0.940814
12,0.43398,0.913437,0.955992,0.247179,0.917526,0.941288
13,0.409775,0.932817,0.957838,0.229599,0.927835,0.953362
14,0.420815,0.928941,0.964003,0.238599,0.927835,0.945549
15,0.40299,0.934109,0.958761,0.228029,0.938144,0.955019
16,0.417952,0.926357,0.966805,0.207671,0.948454,0.963068
17,0.405139,0.930233,0.963669,0.197267,0.948454,0.960938
18,0.397196,0.936693,0.97182,0.217144,0.948454,0.976799
19,0.386941,0.935401,0.973325,0.245536,0.927835,0.975616
20,0.38186,0.94186,0.966605,0.227534,0.927835,0.952178
21,0.389014,0.940568,0.973129,0.260407,0.927835,0.948153
22,0.381535,0.94832,0.977181,0.203131,0.938144,0.983191
23,0.369625,0.949612,0.974415,0.228,0.938144,0.971591
24,0.386274,0.944444,0.969493,0.237215,0.927835,0.965436
25,0.354736,0.95478,0.981136,0.208282,0.938144,0.963542
26,0.36361,0.950904,0.980179,0.205273,0.938144,0.955492
27,0.351744,0.956072,0.981569,0.227243,0.927835,0.96875
28,0.353464,0.956072,0.97919,0.21616,0.938144,0.946023
29,0.361301,0.95478,0.979686,0.260323,0.927835,0.944129
30,0.364323,0.950904,0.979353,0.20676,0.948454,0.946733
31,0.346816,0.956072,0.980535,0.205799,0.938144,0.938447
32,0.351186,0.957364,0.977985,0.237083,0.927835,0.945312
33,0.352541,0.953488,0.981384,0.220295,0.938144,0.937737
34,0.346833,0.959948,0.983115,0.242064,0.927835,0.941525
35,0.351828,0.957364,0.981792,0.231641,0.927835,0.940814
