epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1.695529,0.418605,0.654123,1.479004,0.444444,0.609154
2,1.368059,0.632558,0.866278,1.327736,0.537037,0.762991
3,1.217199,0.732558,0.920831,1.175121,0.574074,0.845932
4,1.13802,0.767442,0.941026,1.069976,0.611111,0.866653
5,1.078826,0.8,0.953906,1.023782,0.592593,0.87988
6,1.040906,0.818605,0.962838,0.976289,0.62963,0.889135
7,1.017009,0.834884,0.966944,0.949084,0.648148,0.896077
8,0.994752,0.848837,0.972129,0.923152,0.703704,0.902971
9,0.969836,0.872093,0.972963,0.912277,0.759259,0.907878
10,0.94263,0.874419,0.980823,0.908429,0.740741,0.91179
11,0.936102,0.87907,0.982897,0.909951,0.722222,0.909933
12,0.916743,0.883721,0.984528,0.916972,0.722222,0.913003
13,0.926797,0.883721,0.985305,0.898419,0.722222,0.911975
14,0.909196,0.9,0.985006,0.904566,0.722222,0.913391
15,0.88958,0.893023,0.989581,0.901009,0.722222,0.913689
16,0.87447,0.911628,0.991236,0.889255,0.722222,0.919781
17,0.871717,0.904651,0.989615,0.878228,0.740741,0.922639
18,0.869792,0.902326,0.991618,0.882639,0.740741,0.925578
19,0.858855,0.913953,0.992516,0.889043,0.722222,0.922994
20,0.852937,0.913953,0.993375,0.878642,0.740741,0.924111
21,0.847095,0.906977,0.993437,0.880902,0.722222,0.92413
22,0.844103,0.913953,0.994041,0.878532,0.703704,0.926513
23,0.845081,0.913953,0.9932,0.871343,0.722222,0.923261
24,0.836751,0.913953,0.994441,0.880016,0.722222,0.922914
25,0.830314,0.918605,0.994732,0.89337,0.703704,0.924408
26,0.833593,0.92093,0.994708,0.889963,0.722222,0.930751
27,0.829116,0.927907,0.994762,0.88678,0.703704,0.927049
28,0.829356,0.918605,0.995108,0.872546,0.740741,0.929728
